cik,company_name,event_date,key,raw_news,top_sym,top_share,phrase_ratio,verdict,reason
92339,COLONIAL BANCGROUP INC,2009-08-20,colonial bancgroup,37,,0.000,1.000,ACCEPT,R2 phrase 'colonial bancgroup' ratio=1.00
1282613,AMERICAN EAGLE ENERGY Corp,2015-05-12,american eagle energy,35,AMZG,0.543,0.943,ACCEPT,R1 symbol AMZG share=0.54
1066134,CORINTHIAN COLLEGES INC,2015-05-06,corinthian colleges,35,COCO,0.257,0.914,ACCEPT,R2 phrase 'corinthian colleges' ratio=0.91
1532543,"EveryWare Global, Inc.",2015-04-08,everyware global,35,EVRY,0.114,1.000,ACCEPT,R2 phrase 'everyware global' ratio=1.00
1441849,CLOUD PEAK ENERGY INC.,2019-05-10,cloud peak energy,34,CLD,0.706,1.000,ACCEPT,R1 symbol CLD share=0.71
6885,STAGE STORES INC,2020-05-12,stage stores,34,SSI,0.794,1.000,ACCEPT,R1 symbol SSI share=0.79
1091862,Chemtura CORP,2009-03-23,chemtura,34,,0.000,1.000,ACCEPT,R3 single-token 'chemtura' ratio=1.00
1609253,"California Resources Corp  (CRC, CRCQW)",2020-07-16,california resources,33,CRC,0.788,0.909,ACCEPT,R1 symbol CRC share=0.79
1311486,Global Geophysical Services Inc,2014-03-27,global geophysical services,33,JRJC,0.030,1.000,ACCEPT,R2 phrase 'global geophysical services' ratio=1.00
38984,FREMONT GENERAL CORP,2008-06-18,fremont general,33,,0.000,0.939,ACCEPT,R2 phrase 'fremont general' ratio=0.94
947397,EVERGREEN SOLAR INC,2011-08-15,evergreen solar,32,JKS,0.062,0.938,ACCEPT,R2 phrase 'evergreen solar' ratio=0.94
1555177,Emerge Energy Services LP,2019-07-17,emerge energy services,32,EMES,0.344,1.000,ACCEPT,R1 symbol EMES share=0.34
1283843,"Emerald Oil, Inc.",2016-03-23,emerald oil,32,EOX,0.312,1.000,ACCEPT,R1 symbol EOX share=0.31
1030749,GULFMARK OFFSHORE INC,2017-05-18,gulfmark offshore,32,GLF,0.625,1.000,ACCEPT,R1 symbol GLF share=0.62
1351197,ARTES MEDICAL INC,2008-12-02,artes medical,32,,0.000,1.000,ACCEPT,R2 phrase 'artes medical' ratio=1.00
1372326,Superior Offshore International Inc.,2008-04-25,superior offshore,32,,0.000,0.688,ACCEPT,R2 phrase 'superior offshore' ratio=0.69
943861,GOODRICH PETROLEUM CORP,2016-04-15,goodrich petroleum,31,GDP,0.645,1.000,ACCEPT,R1 symbol GDP share=0.65
1013871,"NRG ENERGY, INC.  (NRG)",2017-06-14,nrg energy,30,NRG,0.500,0.900,ACCEPT,R1 symbol NRG share=0.50
